Disease_name	Patogen	Vaccine	DRecommendation
Tuberculosis (TB)	Micobacterium tuberculosis	no	Travelers should avoid exposure to TB patients in crowded and enclosed environments (such as health care facilities, correctional facilities, or homeless shelters). 
Tickborne Encephalitis	Flavivirus spp.	no	Travelers should avoid consuming unpasteurized dairy products and use all measures to avoid tick bites.
African Sleeping Sickness (African Trypanosomiasis)	Trypanosoma brucei	no	Avoid tsetse fly bites. Travelers should wear clothing of wrist and ankle length made of medium-weight fabric in neutral colors, as tsetse flies are attracted to bright or dark colors and can bite through lightweight clothing. Permethrinimpregnated clothing and use of DEET repellent may reduce the number of fly bites.
African Tick-Bite Fever	Rickettsia africae	no	No vaccine is available for preventing rickettsial infections. Antibiotics are not recommended for prophylaxis of rickettsial diseases and should not be given to asymptomatic people.Travelers should be instructed to minimize exposure to biting arthropods during travel (including lice, fleas, ticks, mites) and to animal reservoirs (particularly dogs) when traveling in endemic areas. The proper use of insect or tick repellents on skin or clothing, self-examination after visits to vector-infested areas, and wearing protective clothing are ways to reduce risk. These precautions are especially important for people with underlying conditions that may compromise their immune systems, as these people may be more susceptible to severe disease. 
Chikungunya	Chikungunya virus	no	No vaccine or preventive drug is available. The best way to prevent infection is to avoid mosquito bites.
HIV Infection	Human Immunodeficence Virus (HIV)	no	To prevent HIV infections, travelers should have a proper sexual education, avoid sexual encounters with people who are infected with HIV and use condoms consistently and correctly. Avoid injections, injecting drugs and sharind needles or orther devices that can puncture skin. Avoid, if possible, blood transfusions.
Chagas disease (American Trypanosomiasis)	Trypanosoma cruzi	no	Insect precautionsand food and water precautions. Avoid sleeping in thatch, mud, and adobe housing in endemic areas; using insecticides in and around such homes is also protective. Impregnated bed nets are helpful. Screening blood and organs for Chagas disease prevents transmission via transfusion or transplantation.
Japanese Encephalitis	Flavivirus spp.	yes	The best way to prevent mosquitoborne diseases, including Japanese Encephalitis, is to avoid mosquito bites.
Meningitis (Meningococcal disease)	Neisseria meningitidis	yes	Many meningococcal vaccines are licensed, the best recommendation is to get vaccined.
Ebola	Ebolavirus	no	The risk of acquiring VHF is very low for international travelers. Prevention should focus on avoiding unprotected contact with people suspected of having VHF or host or vector species in endemic countries. 

