Vaccine_name	idEffect	Disease_name
N. meningitidis ExbB Protein Vaccine 	5	Meningitis (Meningococcal disease)
N. meningitidis LctP Protein Vaccine 	9	Meningitis (Meningococcal disease)
N. meningitidis LctP Protein Vaccine 	8	Meningitis (Meningococcal disease)
N. meningitidis LctP Protein Vaccine 	2	Meningitis (Meningococcal disease)
N. meningitidis LctP Protein Vaccine 	10	Meningitis (Meningococcal disease)
N. meningitidis LctP Protein Vaccine 	3	Meningitis (Meningococcal disease)
N. meningitidis LctP Protein Vaccine 	5	Meningitis (Meningococcal disease)
N. meningitidis NspA Protein Vaccine 	9	Meningitis (Meningococcal disease)
N. meningitidis NspA Protein Vaccine 	8	Meningitis (Meningococcal disease)
N. meningitidis NspA Protein Vaccine 	2	Meningitis (Meningococcal disease)
N. meningitidis NspA Protein Vaccine 	10	Meningitis (Meningococcal disease)
N. meningitidis NspA Protein Vaccine 	3	Meningitis (Meningococcal disease)
N. meningitidis NspA Protein Vaccine 	5	Meningitis (Meningococcal disease)
N. meningitidis TbpA Protein Vaccine 	9	Meningitis (Meningococcal disease)
N. meningitidis TbpA Protein Vaccine 	8	Meningitis (Meningococcal disease)
N. meningitidis TbpA Protein Vaccine 	2	Meningitis (Meningococcal disease)
N. meningitidis TbpA Protein Vaccine 	10	Meningitis (Meningococcal disease)
N. meningitidis TbpA Protein Vaccine 	3	Meningitis (Meningococcal disease)
N. meningitidis TbpA Protein Vaccine 	5	Meningitis (Meningococcal disease)
N. miningitidis TBP2 Protein Vaccine 	9	Meningitis (Meningococcal disease)
N. miningitidis TBP2 Protein Vaccine 	8	Meningitis (Meningococcal disease)
N. miningitidis TBP2 Protein Vaccine 	2	Meningitis (Meningococcal disease)
N. miningitidis TBP2 Protein Vaccine 	10	Meningitis (Meningococcal disease)
N. miningitidis TBP2 Protein Vaccine 	3	Meningitis (Meningococcal disease)
N. miningitidis TBP2 Protein Vaccine 	5	Meningitis (Meningococcal disease)
Neisseria meningitidis metH/siaD mutant vaccine 	9	Meningitis (Meningococcal disease)
Neisseria meningitidis metH/siaD mutant vaccine 	8	Meningitis (Meningococcal disease)
Neisseria meningitidis metH/siaD mutant vaccine 	2	Meningitis (Meningococcal disease)
Neisseria meningitidis metH/siaD mutant vaccine 	10	Meningitis (Meningococcal disease)
Neisseria meningitidis metH/siaD mutant vaccine 	3	Meningitis (Meningococcal disease)
Neisseria meningitidis metH/siaD mutant vaccine 	5	Meningitis (Meningococcal disease)
Neisseria meningitidis rfaF/siaD mutant vaccine 	9	Meningitis (Meningococcal disease)
Neisseria meningitidis rfaF/siaD mutant vaccine 	8	Meningitis (Meningococcal disease)
Neisseria meningitidis rfaF/siaD mutant vaccine 	2	Meningitis (Meningococcal disease)
Neisseria meningitidis rfaF/siaD mutant vaccine 	10	Meningitis (Meningococcal disease)
Neisseria meningitidis rfaF/siaD mutant vaccine 	3	Meningitis (Meningococcal disease)
Neisseria meningitidis rfaF/siaD mutant vaccine 	5	Meningitis (Meningococcal disease)
JE-Vax 	3	Japanese Encephalitis
JE-Vax 	9	Japanese Encephalitis
JE-Vax 	8	Japanese Encephalitis
JE-Vax 	10	Japanese Encephalitis
Japanese encephalitis virus DNA vaccine encoding E protein 	3	Japanese Encephalitis
Japanese encephalitis virus DNA vaccine encoding E protein 	9	Japanese Encephalitis
Japanese encephalitis virus DNA vaccine encoding E protein 	8	Japanese Encephalitis
Japanese encephalitis virus DNA vaccine encoding E protein 	10	Japanese Encephalitis
Japanese encephalitis virus DNA vaccine encoding NS1 (pUSK-NS1) 	3	Japanese Encephalitis
Japanese encephalitis virus DNA vaccine encoding NS1 (pUSK-NS1) 	9	Japanese Encephalitis
Japanese encephalitis virus DNA vaccine encoding NS1 (pUSK-NS1) 	8	Japanese Encephalitis
Japanese encephalitis virus DNA vaccine encoding NS1 (pUSK-NS1) 	10	Japanese Encephalitis
Japanese encephalitis virus DNA vaccine encoding PrM 	3	Japanese Encephalitis
Japanese encephalitis virus DNA vaccine encoding PrM 	9	Japanese Encephalitis
Japanese encephalitis virus DNA vaccine encoding PrM 	8	Japanese Encephalitis
Japanese encephalitis virus DNA vaccine encoding PrM 	10	Japanese Encephalitis
Japanese encephalitis virus DNA Vaccine P-JEV 	3	Japanese Encephalitis
Japanese encephalitis virus DNA Vaccine P-JEV 	9	Japanese Encephalitis
Japanese encephalitis virus DNA Vaccine P-JEV 	8	Japanese Encephalitis
Japanese encephalitis virus DNA Vaccine P-JEV 	10	Japanese Encephalitis
Japanese encephalitis virus DNA Vaccine pCJ-3/E encoding E 	3	Japanese Encephalitis
Japanese encephalitis virus DNA Vaccine pCJ-3/E encoding E 	9	Japanese Encephalitis
Japanese encephalitis virus DNA Vaccine pCJ-3/E encoding E 	8	Japanese Encephalitis
Japanese encephalitis virus DNA Vaccine pCJ-3/E encoding E 	10	Japanese Encephalitis
Japanese encephalitis virus DNA vaccine pUJENS3 	3	Japanese Encephalitis
Japanese encephalitis virus DNA vaccine pUJENS3 	9	Japanese Encephalitis
Japanese encephalitis virus DNA vaccine pUJENS3 	8	Japanese Encephalitis
Japanese encephalitis virus DNA vaccine pUJENS3 	10	Japanese Encephalitis
Japanese encephalitis virus vaccine BV-G-E 	3	Japanese Encephalitis
Japanese encephalitis virus vaccine BV-G-E 	9	Japanese Encephalitis
Japanese encephalitis virus vaccine BV-G-E 	8	Japanese Encephalitis
Japanese encephalitis virus vaccine BV-G-E 	10	Japanese Encephalitis
